3637,Datapedagog/IT-pedagog/Datautbildare
5965,Dataregistrerare
5944,Datasäkerhetsansvarig
6677,Datorlingvist/Datalingvist
2249,Dealer
1342,Defibratorskötare
6641,Degelmakare
7246,"Dekorationsmålare, bygg"
4062,"Dekorationsmålare, glas"
4063,"Dekorationsmålare, porslin"
3849,"Dekorationsmålare, skyltning"
6152,Dekoratör
4064,"Dekoratör, keramik, glas"
3853,Dekormålare
3940,"Dekorslipare, glas"
5890,Delgivningsman
1445,Demograf
5857,Demonstratör
2351,Demonteringsarbetare/Rivningsarbetare
6006,Demontör/Återvinningsarbetare
3722,Dentaltekniker
6640,Departementschef
6639,Departementsråd
1890,Departementssekreterare
6723,Deponiarbetare
733,"Depåförare, spårburen trafik"
5284,Depåman/Depåtekniker
7673,"Depåtekniker, prospektering"
7630,Designassistent
3305,Designer
4656,Desktopoperatör
1129,Destruktionsmaskinist
5808,Diakon
1955,Dietetiker
5769,Dietist
218,Dietkock/Dietkokerska
6835,Digitaltryckare
2788,Direktionssekreterare
4386,Direktris/Garment technician/Mönsterkonstruktör
6059,Dirigent
6792,Discjockey
5556,Diskare
4949,Diskrimineringsombudsman
3638,Dispatcher
2189,Distributionsassistent
5116,Distributionschef
384,"Distributionschef, energi"
5616,Distributionselektriker
534,Distributionsförare
1435,Distriktsbarnmorska
7308,"Distriktschef, bilprovning"
6945,"Distriktschef, skogsbruk"
3485,Distriktsinstruktör/Distriktstränare
3486,Distriktskonsulent
5760,Distriktssköterska
3647,Distriktsstudieledare
1847,Distriktsveterinär
3146,Distriktsåklagare
7624,DIT (Digital Imaging Technician)
5987,Diversearbetare
4821,Djuptryckare
4686,Djuptrycksetsare
4687,Djuptrycksgalvanisör
1848,Djurhälsoveterinär
5768,Djursjukskötare
1914,Djurskyddsinspektör
6285,"Djurskötare, djurpark"
6279,"Djurskötare, djuruppfödning"
6282,"Djurskötare, fjäderfä"
6433,"Djurskötare, får"
6427,"Djurskötare, gris"
6281,"Djurskötare, häst"
7460,"Djurskötare, mjölk"
6694,Djurtransportförare
7580,Djurvårdare
4401,Dockmakare
6053,Dockspelare
